GEO.id,Poverty_status,Bachelors,Labor_force,Employed,Full_time,Poverty_200,Poverty_500
8600000US01093,307,144,211,198,117,37,166
8600000US01094,336,64,124,113,77,154,275
8600000US01095,14243,4493,7849,7466,4773,1633,7022
8600000US01096,2494,707,1438,1363,927,459,1582
8600000US01097,31,0,31,31,10,0,31
8600000US01098,1132,335,661,643,438,245,724
8600000US01103,2555,340,1095,903,513,1904,2364
8600000US01104,23173,1817,10848,9353,5724,13512,21130
8600000US01105,11627,571,4106,3279,1441,9414,11190
8600000US01106,15331,7224,8053,7624,5206,1644,6128
8600000US01107,11067,605,4328,3357,1926,8043,10443
8600000US01108,27123,3314,12400,10868,6551,15497,23580
8600000US01109,27482,2211,11099,9452,5695,15975,25416
8600000US01118,14298,2928,7693,7149,4981,4880,10448
8600000US01119,12379,1726,6133,5329,3655,4828,10180
8600000US01128,2485,493,1549,1427,884,256,1549
8600000US01129,7272,1217,4182,3767,2428,1657,5352
8600000US01151,8965,809,4388,3777,2482,5448,8229
8600000US01199,0,0,0,0,0,0,0
8600000US01201,44421,8608,24131,21546,13073,15809,34598
8600000US01220,8378,1341,4625,4270,2835,2213,6611
8600000US01222,812,206,548,536,368,94,425
8600000US01223,2282,629,1391,1270,751,425,1594
8600000US01224,138,19,99,83,63,56,120
8600000US01225,3102,411,1666,1521,1000,636,2252
8600000US01226,6785,1464,3785,3445,2002,1876,4886
8600000US01229,114,38,54,54,40,14,110
8600000US01230,7087,2440,4241,3929,2557,1629,4623
8600000US01235,2866,633,1690,1557,1034,421,2107
8600000US01236,1501,600,844,746,400,337,1153
8600000US01237,2831,610,1667,1471,1038,535,1537
8600000US01238,5802,1719,3237,3058,1735,1061,3719
8600000US01240,4287,1750,1895,1575,1053,1083,2589
8600000US01242,394,78,234,234,171,133,382
8600000US01243,374,78,252,249,162,39,189
8600000US01244,115,52,73,73,47,60,89
8600000US01245,945,362,541,503,292,158,648
8600000US01247,14696,2542,7505,6785,4298,5293,12105
8600000US01253,708,160,356,348,202,151,476
8600000US01254,954,404,498,473,306,136,431
8600000US01255,797,231,465,425,294,191,563
8600000US01256,791,94,426,394,254,203,614
8600000US01257,2203,560,1199,1128,718,682,1606
8600000US01258,334,166,200,199,147,34,198
8600000US01259,563,227,355,330,212,105,341
8600000US01260,485,25,282,257,222,99,399
8600000US01262,1170,348,700,677,365,474,819
8600000US01264,148,60,74,64,38,37,100
8600000US01266,1429,573,799,779,464,232,678
8600000US01267,5297,2456,2709,2549,1734,1045,3091
8600000US01270,789,241,421,392,286,106,459
8600000US01301,17183,4007,9685,9059,5555,5977,13530
8600000US01330,1423,511,934,906,554,253,905
8600000US01331,13130,1577,6794,5974,3942,4119,10271
8600000US01337,2587,575,1515,1426,876,590,1809
8600000US01338,196,52,148,127,70,18,129
8600000US01339,1373,333,730,652,414,358,1015
8600000US01340,1682,341,1040,947,540,419,1358
8600000US01341,1685,691,1020,983,601,209,974
8600000US01342,1496,755,852,852,611,227,654
8600000US01343,46,11,25,25,16,8,8
8600000US01344,1531,196,881,795,574,361,1232
8600000US01346,492,126,260,248,123,129,326
8600000US01347,143,21,96,96,63,24,143
8600000US01349,1075,231,648,565,326,198,818
8600000US01350,104,15,55,51,37,46,92
8600000US01351,2212,612,1202,1105,749,373,1276
8600000US01354,1637,589,1082,1035,673,295,1167
8600000US01355,925,296,527,495,351,199,639
8600000US01360,2993,824,1749,1652,1036,454,2061
8600000US01364,7796,839,3806,3319,2092,3552,6470
8600000US01366,1136,347,630,578,366,225,709
8600000US01367,651,123,320,315,174,265,536
8600000US01368,1312,144,734,651,393,432,964
8600000US01370,3956,1196,2265,2143,1250,842,2976
8600000US01373,4352,1275,2613,2466,1553,966,2835
8600000US01375,3644,1324,2458,2400,1267,1687,2762
8600000US01376,5106,931,2639,2361,1533,2225,4240
8600000US01378,723,198,404,388,228,179,505
8600000US01379,843,298,459,441,207,307,698
8600000US01420,38443,5296,20290,17750,11893,15255,30973
8600000US01430,6026,1745,3574,3348,2151,595,3327
8600000US01431,3157,543,1828,1696,979,522,2173
