GEO.id,GEO.display-label,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Geographic area name,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US01748,"ZIP 01748 (Hopkinton, MA)",439,15077,569580,2102771
8610000US01749,"ZIP 01749 (Hudson, MA)",524,7760,84160,357457
8610000US01752,"ZIP 01752 (Marlborough, MA)",1408,34483,818124,3107435
8610000US01754,"ZIP 01754 (Maynard, MA)",265,2239,41426,183877
8610000US01756,"ZIP 01756 (Mendon, MA)",138,1061,7714,36325
8610000US01757,"ZIP 01757 (Milford, MA)",792,15834,228477,946169
8610000US01760,"ZIP 01760 (Natick, MA)",1302,20903,310717,1199474
8610000US01770,"ZIP 01770 (Sherborn, MA)",106,638,7177,33540
8610000US01772,"ZIP 01772 (Southborough, MA)",339,7784,159284,601968
8610000US01773,"ZIP 01773 (Lincoln, MA)",145,1385,19117,86599
8610000US01775,"ZIP 01775 (Stow, MA)",160,1249,12576,62500
8610000US01776,"ZIP 01776 (Sudbury, MA)",522,6397,96944,362066
8610000US01778,"ZIP 01778 (Wayland, MA)",360,3408,36278,160169
8610000US01784,"ZIP 01784 (Woodville, MA)",4,35,313,1322
8610000US01801,"ZIP 01801 (Woburn, MA)",2069,42347,676480,2868457
8610000US01803,"ZIP 01803 (Burlington, MA)",1483,40367,861145,3409334
8610000US01805,"ZIP 01805 (Burlington, MA)",14,i,D,D
8610000US01810,"ZIP 01810 (Andover, MA)",1042,28458,621497,2441179
8610000US01812,"ZIP 01812 (Andover, MA)",1,a,D,D
8610000US01815,"ZIP 01815 (Woburn, MA)",1,a,D,D
8610000US01821,"ZIP 01821 (Billerica, MA)",725,13932,270411,1169329
8610000US01824,"ZIP 01824 (Chelmsford, MA)",823,20087,325777,1466295
8610000US01826,"ZIP 01826 (Dracut, MA)",538,4393,38866,191603
8610000US01827,"ZIP 01827 (Dunstable, MA)",44,120,925,5792
8610000US01830,"ZIP 01830 (Haverhill, MA)",502,6757,53551,243356
8610000US01831,"ZIP 01831 (Haverhill, MA)",15,169,2021,7646
8610000US01832,"ZIP 01832 (Haverhill, MA)",285,4896,45275,200600
8610000US01833,"ZIP 01833 (Georgetown, MA)",205,2273,19504,95275
8610000US01834,"ZIP 01834 (Groveland, MA)",121,892,8907,43466
8610000US01835,"ZIP 01835 (Haverhill, MA)",300,5626,56169,239999
8610000US01840,"ZIP 01840 (Lawrence, MA)",330,5547,39660,176779
8610000US01841,"ZIP 01841 (Lawrence, MA)",381,6644,70387,301092
8610000US01842,"ZIP 01842 (Lawrence, MA)",20,206,3270,15581
8610000US01843,"ZIP 01843 (Lawrence, MA)",451,9350,117821,467582
8610000US01844,"ZIP 01844 (Methuen, MA)",905,16416,154191,690478
8610000US01845,"ZIP 01845 (North Andover, MA)",883,14595,167054,773151
8610000US01850,"ZIP 01850 (Lowell, MA)",103,1421,7595,32612
8610000US01851,"ZIP 01851 (Lowell, MA)",450,8568,147660,551236
8610000US01852,"ZIP 01852 (Lowell, MA)",728,11640,102525,428002
8610000US01853,"ZIP 01853 (Lowell, MA)",19,538,9314,41256
8610000US01854,"ZIP 01854 (Lowell, MA)",294,6707,77974,353205
8610000US01860,"ZIP 01860 (Merrimac, MA)",82,543,4495,19887
8610000US01862,"ZIP 01862 (North Billerica, MA)",386,7641,114223,464853
8610000US01863,"ZIP 01863 (North Chelmsford, MA)",221,2871,36129,172349
8610000US01864,"ZIP 01864 (North Reading, MA)",510,6700,134411,532851
8610000US01865,"ZIP 01865 (Nutting Lake, MA)",2,a,D,D
8610000US01866,"ZIP 01866 (Pinehurst, MA)",6,17,157,1235
8610000US01867,"ZIP 01867 (Reading, MA)",537,7146,67395,285645
8610000US01876,"ZIP 01876 (Tewksbury, MA)",705,14595,229862,861690
8610000US01879,"ZIP 01879 (Tyngsboro, MA)",316,3368,33990,147936
8610000US01880,"ZIP 01880 (Wakefield, MA)",887,14663,226769,941593
8610000US01885,"ZIP 01885 (West Boxford, MA)",9,21,191,1239
8610000US01886,"ZIP 01886 (Westford, MA)",594,10266,216547,850463
8610000US01887,"ZIP 01887 (Wilmington, MA)",825,17537,315324,1128725
8610000US01888,"ZIP 01888 (Woburn, MA)",17,260,5959,23299
8610000US01889,"ZIP 01889 (North Reading, MA)",2,b,D,D
8610000US01890,"ZIP 01890 (Winchester, MA)",570,6833,84571,388685
8610000US01901,"ZIP 01901 (Lynn, MA)",292,6900,72453,287389
8610000US01902,"ZIP 01902 (Lynn, MA)",385,3636,29870,134456
8610000US01903,"ZIP 01903 (Lynn, MA)",8,32,319,1361
8610000US01904,"ZIP 01904 (Lynn, MA)",275,2257,18572,82896
8610000US01905,"ZIP 01905 (Lynn, MA)",302,3694,36498,160662
8610000US01906,"ZIP 01906 (Saugus, MA)",768,10000,71458,300333
8610000US01907,"ZIP 01907 (Swampscott, MA)",323,2894,20627,93653
8610000US01908,"ZIP 01908 (Nahant, MA)",47,314,2483,12350
8610000US01910,"ZIP 01910 (Lynn, MA)",10,g,D,D
8610000US01913,"ZIP 01913 (Amesbury, MA)",398,3944,45362,189414
8610000US01915,"ZIP 01915 (Beverly, MA)",1239,21315,279102,1164458
8610000US01921,"ZIP 01921 (Boxford, MA)",148,1290,15390,64586
8610000US01922,"ZIP 01922 (Byfield, MA)",59,708,8800,34653
