GEO.id,Total_Households,Total_Families,Families_w_Children
8600000US02134,7826,2014,649
8600000US02135,18029,5896,2015
8600000US02136,11048,7597,3735
8600000US02138,13654,5987,2399
8600000US02139,14058,5429,2288
8600000US02140,8561,4320,1780
8600000US02141,6297,2349,866
8600000US02142,1307,466,150
8600000US02143,11340,4527,1755
8600000US02144,10760,4081,1413
8600000US02145,10037,5307,2099
8600000US02148,22960,13857,6290
8600000US02149,15476,10405,5428
8600000US02150,12276,7838,4536
8600000US02151,20500,12101,5069
8600000US02152,7602,4301,1641
8600000US02155,22114,12922,4781
8600000US02163,525,108,64
8600000US02169,24364,13137,5311
8600000US02170,7625,4367,1770
8600000US02171,7487,4012,1329
8600000US02176,11349,7215,3320
8600000US02180,9055,5557,2043
8600000US02184,13706,9182,4242
8600000US02186,9049,6856,3414
8600000US02188,6211,3473,1415
8600000US02189,6088,3676,1709
8600000US02190,6879,4254,1897
8600000US02191,3530,2107,701
8600000US02199,797,333,23
8600000US02203,0,0,0
8600000US02210,1216,381,55
8600000US02215,7472,1054,217
8600000US02301,21284,13818,6945
8600000US02302,11480,8245,3942
8600000US02322,1659,1170,441
8600000US02324,7803,5745,2340
8600000US02330,4423,3129,1169
8600000US02332,5406,4242,1846
8600000US02333,4986,3617,1404
8600000US02338,2852,2043,803
8600000US02339,4862,3748,1793
8600000US02341,3458,2734,1174
8600000US02343,4333,2812,877
8600000US02346,8566,6310,2697
8600000US02347,3780,2823,1211
8600000US02351,6035,4281,1722
8600000US02356,4278,3347,1601
8600000US02357,0,0,0
8600000US02359,6309,4868,1969
8600000US02360,21945,15544,6189
8600000US02364,4585,3453,1420
8600000US02366,0,0,0
8600000US02367,1028,822,253
8600000US02368,12045,8166,3007
8600000US02370,6517,4239,1672
8600000US02375,3445,2525,1028
8600000US02379,2343,1654,719
8600000US02382,5503,3694,1681
8600000US02420,5026,4002,1964
8600000US02421,6505,4963,2744
8600000US02445,8643,4891,2385
8600000US02446,13431,5965,2578
8600000US02451,7662,4353,1437
8600000US02452,5080,2819,1027
8600000US02453,11506,5524,2199
8600000US02457,0,0,0
8600000US02458,4920,3060,1657
8600000US02459,6626,5108,2298
8600000US02460,3755,2594,1275
8600000US02461,2691,2017,977
8600000US02462,618,316,163
8600000US02464,1205,728,299
8600000US02465,4249,3252,1575
8600000US02466,2876,1854,1048
8600000US02467,6586,4106,2025
8600000US02468,1959,1693,678
8600000US02472,14357,7728,3081
8600000US02474,11450,6980,3411
8600000US02476,7193,4216,2084
8600000US02478,9504,6658,3407
8600000US02481,4761,3785,2248
8600000US02482,3800,2783,1417
8600000US02492,6891,5413,2737
8600000US02493,3781,3105,1504
8600000US02494,3683,2599,1379
8600000US02532,5106,3231,1116
8600000US02534,361,202,85
8600000US02535,485,278,111
8600000US02536,8019,5253,1705
8600000US02537,2392,1960,849
8600000US02538,1185,702,310
8600000US02539,1436,887,320
8600000US02540,3994,2102,638
8600000US02542,237,220,179
8600000US02543,368,234,87
8600000US02553,132,56,0
8600000US02554,3844,2252,949
8600000US02556,1270,887,267
8600000US02557,1712,1226,428
8600000US02558,683,249,82
8600000US02559,1903,1163,395
8600000US02561,229,128,42
8600000US02562,1348,821,208
8600000US02563,3783,2684,973
8600000US02564,70,43,31
8600000US02568,1337,815,398
8600000US02571,4507,2957,1292
8600000US02575,996,762,308
8600000US02576,1786,1131,500
8600000US02584,9,0,0
8600000US02601,6393,3115,1171
8600000US02630,856,587,144
8600000US02631,4205,2750,812
8600000US02632,4626,2850,992
8600000US02633,1819,1132,282
8600000US02635,1553,1019,340
8600000US02637,44,29,15
8600000US02638,1597,1043,187
8600000US02639,1300,605,118
8600000US02641,140,93,8
8600000US02642,2277,1486,305
8600000US02643,9,0,0
8600000US02644,1373,1100,443
8600000US02645,3956,2549,878
8600000US02646,1018,595,136
8600000US02647,61,52,0
8600000US02648,2686,1907,644
8600000US02649,5907,3924,1251
8600000US02650,524,331,65
8600000US02651,14,14,0
8600000US02652,432,243,69
8600000US02653,2926,1743,311
8600000US02655,1658,1074,236
8600000US02657,1782,519,111
8600000US02659,393,242,66
8600000US02660,3064,1711,364
8600000US02663,56,56,13
8600000US02664,4355,2452,634
8600000US02666,388,247,28
8600000US02667,1492,792,228
8600000US02668,1314,1000,355
8600000US02669,80,54,16
8600000US02670,700,354,64
8600000US02671,477,203,9
8600000US02672,62,27,27
8600000US02673,3684,2319,703
8600000US02675,3086,1700,371
8600000US02702,1541,1212,483
8600000US02703,16787,11248,5101
8600000US02713,28,15,0
8600000US02715,1056,865,383
8600000US02717,1531,1166,413
8600000US02718,2294,1770,639
8600000US02719,6687,3916,1373
8600000US02720,13214,7321,3162
8600000US02721,11144,6315,2969
8600000US02723,6514,3597,1836
8600000US02724,7613,4288,1652
8600000US02725,965,619,108
8600000US02726,5910,4342,1795
8600000US02738,1851,1354,645
8600000US02739,2299,1695,630
8600000US02740,18274,10246,4427
8600000US02743,3917,2899,1030
8600000US02744,4661,2630,1243
8600000US02745,10136,6354,2649
8600000US02746,5969,3531,1916
8600000US02747,6504,4614,1747
8600000US02748,4826,3182,1086
8600000US02760,9823,6708,3422
8600000US02762,3358,2212,891
8600000US02763,700,466,221
8600000US02764,1447,1087,371
8600000US02766,6151,4639,1972
8600000US02767,4834,3702,1567
8600000US02769,4012,3202,1307
8600000US02770,1812,1494,538
8600000US02771,5501,4129,1616
8600000US02777,6015,4345,1465
8600000US02779,2184,1763,876
8600000US02780,19681,12360,5248
8600000US02790,6196,4356,1663
8600000US02791,104,58,0
8600000US02802,424,313,179
8600000US02804,954,654,148
8600000US02806,6235,4716,2239
8600000US02807,426,276,62
8600000US02808,825,612,224
8600000US02809,8389,5299,1690
8600000US02812,497,463,238
8600000US02813,3048,2312,748
8600000US02814,2709,2103,663
8600000US02815,62,45,18
8600000US02816,13084,8697,3343
8600000US02817,2175,1664,736
8600000US02818,7458,4672,2086
8600000US02822,2361,1626,654
8600000US02825,1957,1522,545
8600000US02826,328,198,126
8600000US02827,730,584,159
8600000US02828,2940,1889,688
8600000US02830,2547,1737,628
8600000US02831,1266,943,366
8600000US02832,2028,1305,581
8600000US02833,278,229,49
8600000US02835,2360,1643,461
8600000US02836,44,32,17
8600000US02837,1640,999,261
8600000US02838,1425,894,414
8600000US02839,567,433,153
8600000US02840,10728,4629,1765
8600000US02841,0,0,0
8600000US02842,6414,4265,1836
8600000US02852,8960,6365,2717
8600000US02857,3700,2636,980
8600000US02858,235,173,47
8600000US02859,2460,1805,738
8600000US02860,17973,10520,5068
8600000US02861,10058,6617,2801
8600000US02863,6413,4397,2717
8600000US02864,13362,9318,3944
8600000US02865,6335,4278,1859
8600000US02871,6916,4789,2021
8600000US02872,120,100,0
8600000US02873,123,0,0
8600000US02874,2329,1747,889
8600000US02875,173,83,32
8600000US02876,138,84,20
8600000US02878,6670,4566,1445
8600000US02879,8248,5479,2024
8600000US02881,1171,641,260
8600000US02882,6316,3004,723
8600000US02885,4666,2730,1085
8600000US02886,12427,7272,2542
8600000US02888,8555,5283,2379
8600000US02889,11158,7665,2910
8600000US02891,9163,5875,2303
8600000US02892,1749,1249,421
8600000US02893,12964,7155,3064
8600000US02894,290,249,119
8600000US02895,17324,9857,4581
8600000US02896,4481,3126,1131
8600000US02898,581,485,148
8600000US02903,4607,1093,271
8600000US02904,12721,7093,2890
8600000US02905,8610,5579,2845
8600000US02906,10914,4980,2160
8600000US02907,8699,6192,3478
8600000US02908,12310,7714,3969
8600000US02909,14891,9143,5367
8600000US02910,7801,5331,2306
